[2024-11-17 12:48:28] Dados da tabela portal_vagas_estagio foram apagados.
[2024-11-17 12:48:31] Erro na linha 216, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 217, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 218, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 220, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 221, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 222, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 223, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 224, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 225, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 226, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 227, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 228, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 229, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 230, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 231, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 232, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 233, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 234, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 235, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 235, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 236, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 237, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 237, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 238, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 239, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 240, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 241, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 242, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 243, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 244, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 245, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 247, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 249, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 249, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 251, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 254, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 255, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 256, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 258, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 259, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 260, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 261, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 262, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 263, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 268, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 269, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 271, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 273, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 276, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 278, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 280, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 281, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 282, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 282, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 283, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 284, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 284, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 285, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 286, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 287, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 288, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 288, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 290, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 290, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 291, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 292, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 295, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 297, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 299, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 301, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 302, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 303, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 304, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 305, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 306, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 307, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 308, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 309, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 310, coluna G: Célula vazia, sem informação.
